Lat,Lon,cluster
40.7292,-74.0024,0
40.7303,-74.0027,0
40.7843,-73.9795,3
40.7696,-73.9896,3
40.7825,-73.9808,3
40.7166,-74.0083,0
40.707,-74.0051,0
40.8434,-73.9417,1
40.6859,-73.9884,0
40.7399,-73.9797,3
40.762,-73.9841,3
40.7494,-74.0245,0
40.7551,-73.9809,3
40.7603,-73.9806,3
40.7104,-74.0106,0
40.7435,-73.9787,3
40.7505,-73.9953,3
40.677,-73.9567,0
40.6928,-73.9888,0
40.7141,-74.0095,0
40.73,-73.9814,0
40.7163,-73.9807,0
40.7527,-73.9657,3
40.6047,-73.9594,0
40.7272,-74.0055,0
40.718,-74.0073,0
40.7467,-73.9818,3
40.7237,-73.9914,0
40.6927,-73.9971,0
40.728,-73.9909,0
40.7694,-73.9519,3
40.7245,-73.9984,0
40.7513,-73.994,3
40.7504,-73.9834,3
40.7394,-73.9898,0
40.7221,-74.0029,0
40.7413,-73.9849,0
40.7201,-73.9552,0
40.742,-73.9852,3
40.7256,-74.0056,0
40.7247,-73.9784,0
40.754,-73.9905,3
40.7513,-73.9762,3
40.7679,-73.9621,3
40.73,-74.0083,0
40.7278,-73.9857,0
40.7524,-73.9933,3
40.7601,-73.9685,3
40.7214,-74.0013,0
40.7713,-73.9642,3
40.7484,-73.9885,3
40.7578,-73.9734,3
40.7548,-73.9942,3
40.7451,-73.9829,3
40.7449,-74.0372,0
40.7181,-73.9532,0
40.7417,-73.9918,0
40.6484,-73.7831,4
40.7636,-73.9814,3
40.7549,-73.9876,3
40.7674,-73.9595,3
40.7604,-73.9704,3
40.7774,-73.9484,3
40.7213,-73.9988,0
40.7964,-74.4812,2
40.7303,-74.002,0
40.6449,-73.7823,4
40.7241,-73.9944,0
40.7621,-73.9714,3
40.77,-73.8649,1
40.7739,-73.8722,1
40.7161,-74.0071,0
40.7589,-73.9706,3
40.7601,-73.9673,3
40.7515,-74.0063,3
40.6879,-74.1813,2
40.7211,-73.957,0
40.7199,-73.9893,0
40.7295,-73.9899,0
40.7433,-74.0072,0
40.7091,-74.017,0
40.7294,-73.978,0
40.7459,-73.972,3
40.7393,-73.9883,0
40.719,-74.0353,0
40.7408,-73.9932,0
40.7143,-74.014,0
40.7611,-73.969,3
40.7408,-73.9859,0
40.7396,-74.0019,0
40.6452,-73.7918,4
40.7064,-74.0061,0
40.7472,-74.0102,0
40.788,-73.9759,3
40.7457,-73.9725,3
40.7727,-73.9555,3
40.7596,-73.9817,3
40.7616,-73.973,3
40.7667,-73.9866,3
40.7224,-73.9917,0
40.7637,-73.9714,3
40.7246,-73.9934,0
40.695,-74.1782,2
40.7196,-73.9943,0
40.7166,-74.01,0
40.7705,-73.9548,3
40.7778,-73.975,3
40.7181,-73.9574,0
40.7569,-73.986,3
40.7106,-73.9638,0
40.7566,-73.9974,3
40.6877,-74.1819,2
40.7415,-74.0081,0
40.7258,-74.0076,0
40.8995,-73.9011,1
40.7128,-73.9587,0
40.7556,-73.978,3
40.7825,-73.9809,3
40.7165,-73.9401,0
40.7633,-73.9792,3
40.7395,-73.9869,0
40.7425,-73.9846,3
40.7444,-73.9834,3
40.7532,-73.9739,3
40.774,-73.8735,1
40.776,-73.9561,3
40.7184,-74.0057,0
40.7531,-73.9854,3
40.7277,-74.0461,0
40.7692,-73.996,3
40.7318,-73.9914,0
40.7521,-73.9854,3
40.7349,-74.1649,2
40.781,-73.9812,3
40.7728,-73.8858,1
40.7665,-73.954,3
40.723,-74.0024,0
40.7628,-73.9784,3
40.769,-73.9552,3
40.7456,-74.0092,0
40.7461,-74.0079,0
40.8024,-73.9365,3
40.7488,-73.9739,3
40.7509,-74.0019,3
40.7189,-73.9451,0
40.7602,-73.9913,3
40.6781,-73.9848,0
40.7495,-74.0044,3
40.6879,-73.9229,0
40.7373,-73.9844,0
40.7361,-73.9363,3
40.6485,-73.783,4
40.7206,-73.9898,0
40.7639,-73.9762,3
40.7216,-74.0099,0
40.7626,-73.967,3
40.7217,-74.001,0
40.7437,-73.9725,3
40.7349,-74.0021,0
40.7263,-73.996,0
40.7245,-74.0029,0
40.6104,-74.0245,0
40.7144,-73.9656,0
40.7761,-73.9817,3
40.7376,-74.0089,0
40.7385,-73.9855,0
40.7768,-73.9514,3
40.7381,-74.0041,0
40.7621,-73.975,3
40.6915,-73.9143,0
40.7021,-73.9828,0
40.6769,-73.9731,0
40.7837,-73.9545,3
40.7461,-73.9942,3
40.7488,-73.971,3
40.7379,-73.9905,0
40.6385,-74.036,0
40.7466,-73.9914,3
40.7231,-73.9913,0
40.6946,-73.9837,0
40.7286,-73.9999,0
40.7304,-73.9867,0
40.6633,-73.9879,0
40.7441,-73.984,3
40.7539,-73.9896,3
40.7575,-73.9766,3
40.7202,-74.0108,0
40.7421,-73.9893,0
40.7541,-73.9921,3
40.7762,-73.9538,3
40.7216,-74.0111,0
40.703,-73.9834,0
40.6615,-73.9971,0
40.7596,-73.9875,3
40.7092,-74.0099,0
40.7457,-73.9865,3
40.7236,-74.0006,0
40.7239,-73.9902,0
40.7333,-74.0044,0
40.7518,-73.9758,3
40.6752,-73.989,0
40.7256,-74.0056,0
40.7619,-73.9861,3
40.7341,-73.9887,0
40.7281,-74.0019,0
40.7164,-74.0081,0
40.7647,-73.976,3
40.7592,-73.98,3
40.7291,-73.9587,0
40.7253,-73.9926,0
40.7491,-73.978,3
40.6951,-74.1773,2
40.7612,-73.9856,3
40.735,-73.988,0
40.7511,-73.9746,3
40.7307,-73.974,0
40.7449,-73.984,3
40.7604,-73.9777,3
40.7026,-73.9688,0
40.7253,-74.0428,0
40.6461,-73.7769,4
40.7406,-73.982,3
40.7868,-73.9503,3
40.7093,-73.9616,0
40.7605,-73.9797,3
40.74,-73.9972,0
40.7198,-73.9992,0
40.7349,-73.9785,0
40.7675,-73.9828,3
40.7709,-73.9631,3
40.7013,-73.9292,0
40.6891,-73.9843,0
40.7426,-73.9845,3
40.7226,-73.9829,0
40.7462,-73.9884,3
40.6744,-73.9664,0
40.6637,-73.9629,0
40.7661,-73.9638,3
40.7308,-73.983,0
40.6799,-73.9896,0
40.7461,-74.0105,0
40.7245,-73.9906,0
40.737,-74.0076,0
40.7295,-73.9899,0
40.7629,-73.98,3
40.7979,-73.9371,3
40.7026,-73.9912,0
40.7741,-73.9869,3
40.7027,-73.9902,0
40.767,-73.9562,3
40.7425,-74.0042,0
40.7046,-74.0095,0
40.695,-74.1779,2
40.7396,-74.0054,0
40.7198,-73.9831,0
40.7236,-74.0035,0
40.7168,-74.0056,0
40.7291,-73.9921,0
40.7626,-73.979,3
40.7727,-73.9524,3
40.6483,-73.7826,4
40.7189,-73.9871,0
40.7605,-73.9714,3
40.7528,-73.9714,3
40.7652,-73.9785,3
40.7418,-73.9893,0
40.7719,-73.9596,3
40.6835,-73.9286,0
40.725,-73.9844,0
40.7647,-73.982,3
40.7696,-73.9648,3
40.7436,-74.0065,0
40.7332,-73.9533,3
40.7465,-74.0071,0
40.7301,-73.9913,0
40.7436,-73.9841,3
40.727,-73.9802,0
40.7495,-73.9913,3
40.7327,-73.9523,3
40.7186,-73.9905,0
40.7565,-73.9689,3
40.7606,-73.9697,3
40.7259,-74.0091,0
40.6754,-73.7041,4
40.7693,-73.9595,3
40.8007,-73.9681,3
40.7853,-73.9714,3
40.7182,-73.9969,0
40.7444,-73.9835,3
40.7523,-73.9754,3
40.7553,-74.0313,0
40.7229,-74.008,0
40.7463,-74.0095,0
40.7442,-73.9836,3
40.7339,-73.9899,0
40.733,-74.0036,0
40.7731,-73.9901,3
40.7573,-73.9691,3
40.7311,-73.986,0
40.7671,-73.9682,3
40.7666,-73.8905,1
40.7543,-73.974,3
40.7157,-74.0112,0
40.7191,-73.9539,0
40.733,-73.9811,0
40.7558,-73.9825,3
40.7339,-74.0051,0
40.7215,-73.9576,0
40.7573,-73.984,3
40.7476,-74.0336,0
40.7628,-73.9773,3
40.7376,-74.0069,0
40.7191,-74.0,0
40.739,-73.9252,3
40.7746,-73.9633,3
40.7772,-73.9754,3
40.7425,-74.0042,0
40.723,-74.005,0
40.76,-73.9739,3
40.7441,-73.9917,3
40.7293,-74.001,0
40.785,-73.9536,3
40.8082,-73.8718,1
40.774,-73.8724,1
40.7634,-73.9964,3
40.6227,-74.0282,0
40.7353,-73.9898,0
40.7198,-74.0101,0
40.7287,-73.9879,0
40.7207,-73.9996,0
40.7275,-73.7018,4
40.724,-73.9911,0
40.6741,-73.9822,0
40.76,-73.9841,3
40.7718,-73.9595,3
40.7339,-73.9928,0
40.7412,-74.0079,0
40.745,-73.9742,3
40.7343,-74.0027,0
40.7443,-73.9804,3
40.7783,-73.9856,3
40.8524,-73.9361,1
40.7663,-73.9523,3
40.7169,-74.0064,0
40.7457,-73.978,3
40.7569,-73.9837,3
40.6419,-73.7889,4
40.7541,-73.9804,3
40.7428,-73.9829,3
40.7501,-73.9933,3
40.7591,-73.9816,3
40.7198,-73.958,0
40.7583,-73.9836,3
40.7559,-73.9805,3
40.7729,-73.96,3
40.7644,-73.9689,3
40.7743,-73.9885,3
40.7646,-73.9798,3
40.7552,-73.9723,3
40.7434,-73.9924,0
40.7684,-73.9847,3
40.7591,-73.9723,3
40.7406,-73.9874,0
40.7241,-73.9974,0
40.7266,-73.9959,0
40.7716,-73.8995,1
40.7085,-74.0111,0
40.7564,-73.9723,3
40.7265,-73.9801,0
40.6816,-74.0012,0
40.7552,-73.9871,3
40.6709,-73.9371,0
40.7042,-74.0114,0
40.7141,-73.9901,0
40.7298,-74.0042,0
40.71,-74.0096,0
40.7418,-73.981,3
40.7394,-74.0063,0
40.6127,-73.9697,0
40.7537,-73.9931,3
40.7661,-73.987,3
40.641,-74.2377,2
40.7631,-73.9739,3
40.6466,-73.7897,4
40.7295,-73.988,0
40.7606,-73.9994,3
40.7649,-73.961,3
40.7427,-73.9923,0
40.7638,-73.9761,3
40.7427,-73.9845,3
40.7228,-73.9939,0
40.7487,-73.9731,3
40.7126,-74.0097,0
40.7235,-73.9987,0
40.7253,-74.0076,0
40.7849,-73.9733,3
40.7605,-73.9644,3
40.7503,-74.0348,0
40.706,-74.018,0
40.7397,-73.9872,0
40.6665,-73.9375,0
40.7229,-74.0068,0
40.7538,-73.9894,3
40.7349,-73.9932,0
40.7716,-73.9845,3
40.7256,-73.9967,0
40.7681,-73.9883,3
40.7531,-73.9836,3
40.7364,-74.007,0
40.7185,-74.0027,0
40.7739,-73.8715,1
40.7491,-73.9924,3
40.7259,-73.9919,0
40.7598,-73.9661,3
40.7335,-74.0079,0
40.7658,-73.9545,3
40.7359,-74.0289,0
40.6449,-73.7821,4
40.7075,-74.0138,0
40.7145,-73.9818,0
40.7287,-74.0111,0
40.7523,-73.9698,3
40.7639,-73.979,3
40.7543,-73.977,3
40.725,-74.0077,0
40.7835,-73.9569,3
40.7221,-73.9984,0
40.7609,-73.9964,3
40.6817,-74.0042,0
40.748,-74.004,0
40.6912,-73.99,0
40.9342,-73.9026,1
40.7507,-73.9732,3
40.604,-73.968,0
40.6449,-73.7821,4
40.7583,-73.9737,3
40.7326,-73.9856,0
40.7438,-73.9775,3
40.7443,-73.9854,3
40.7785,-73.951,3
40.7265,-74.0076,0
40.7682,-73.862,1
